Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Task Path,:build-logic:convention:compileKotlin,6747,6676,6697,6646,7161,6944,ms
Task Path,:api:account-checkout:parseDebugLocalResources,1685,1441,1274,1002,2957,2931,ms
Task Path,:core:analytics:kspDebugKotlin,6229,6264,6113,6156,6828,6947,ms
Task Path,:core:calendar:kspDebugKotlin,5810,5846,5701,5744,6285,6471,ms
Task Path,:core:account:kspDebugKotlin,6898,6916,6729,6783,7567,7688,ms
Task Path,:core:cart:kspDebugKotlin,5454,5497,5364,5395,5988,6036,ms
Task Path,:core:account:compileDebugKotlin,5430,5359,5391,5316,5812,5658,ms
Task Path,:core:analytics:compileDebugKotlin,5389,5335,5361,5296,5769,5578,ms
Task Path,:core:cart:compileDebugKotlin,5302,5273,5226,5236,5705,5635,ms
Task Path,:core:calendar:compileDebugKotlin,5361,5303,5322,5289,5740,5526,ms
Task Path,:core:calendar:compileDebugJavaWithJavac,1058,1023,438,459,2134,2208,ms
Task Path,:core:checkout:kspDebugKotlin,4697,4806,4644,4715,5206,5286,ms
Task Path,:core:contact:kspDebugKotlin,3961,4083,3928,4040,4335,4638,ms
Task Path,:core:comment:kspDebugKotlin,4241,4307,4235,4270,4745,4961,ms
Task Path,:core:event:kspDebugKotlin,3965,4011,3905,3903,4498,4492,ms
Task Path,:core:checkout:compileDebugKotlin,4018,3964,3983,3929,4546,4404,ms
Task Path,:core:contact:compileDebugKotlin,3778,3741,3748,3643,4090,4229,ms
Task Path,:core:comment:compileDebugKotlin,3798,3770,3825,3726,4203,4252,ms
Task Path,:core:event:compileDebugKotlin,3817,3779,3735,3708,4252,4413,ms
Task Path,:core:feed:kspDebugKotlin,3957,3991,3965,3982,4531,4430,ms
Task Path,:core:group:kspDebugKotlin,3936,3877,3881,3851,4447,4319,ms
Task Path,:core:feed:compileDebugKotlin,3159,3056,3077,3030,3787,3613,ms
Task Path,:core:identity:kspDebugKotlin,4360,4302,4303,4204,4968,4848,ms
Task Path,:core:location:kspDebugKotlin,3790,3690,3747,3652,4256,4173,ms
Task Path,:core:group:compileDebugKotlin,3524,3492,3518,3436,4037,4020,ms
Task Path,:core:identity:compileDebugKotlin,3509,3449,3444,3379,4067,3958,ms
Task Path,:core:location:compileDebugKotlin,3330,3320,3295,3233,3796,3762,ms
Task Path,:core:log:kspDebugKotlin,4396,4296,4332,4290,4821,4788,ms
Task Path,:core:login:kspDebugKotlin,3728,3733,3694,3716,4148,4073,ms
Task Path,:core:log:compileDebugKotlin,2807,2792,2796,2714,3175,3267,ms
Task Path,:core:login:compileDebugKotlin,2599,2510,2562,2489,2984,2864,ms
Task Path,:core:message:kspDebugKotlin,3617,3614,3613,3589,3980,4059,ms
Task Path,:core:metric:kspDebugKotlin,3587,3611,3540,3594,3921,4073,ms
Task Path,:core:message:compileDebugKotlin,2533,2442,2565,2424,2846,2854,ms
Task Path,:core:metric:compileDebugKotlin,2423,2359,2453,2317,2762,2712,ms
Task Path,:core:network:kspDebugKotlin,3603,3615,3583,3608,4012,3988,ms
Task Path,:core:notification:kspDebugKotlin,3600,3598,3576,3577,4000,3891,ms
Task Path,:core:network:compileDebugKotlin,2614,2557,2616,2484,2914,2984,ms
Task Path,:core:notification:compileDebugKotlin,2363,2367,2325,2291,2723,2795,ms
Task Path,:core:post:kspDebugKotlin,3590,3515,3534,3500,3999,3853,ms
Task Path,:core:profile:kspDebugKotlin,3759,3743,3729,3739,4251,4131,ms
Task Path,:core:post:compileDebugKotlin,2361,2358,2290,2343,2801,2706,ms
Task Path,:core:profile:compileDebugKotlin,2381,2392,2277,2396,2807,2696,ms
Task Path,:core:push:kspDebugKotlin,3570,3598,3502,3553,4161,4018,ms
Task Path,:core:report:kspDebugKotlin,4083,4065,4023,4053,4789,4563,ms
Task Path,:core:push:compileDebugKotlin,2528,2644,2502,2579,3031,3157,ms
Task Path,:core:report:compileDebugKotlin,2485,2491,2482,2501,3010,3038,ms
Task Path,:core:search:kspDebugKotlin,4064,4088,3977,4107,4663,4536,ms
Task Path,:core:session:kspDebugKotlin,3740,3774,3726,3700,4265,4251,ms
Task Path,:core:session:compileDebugKotlin,2253,2317,2239,2321,2830,2724,ms
Task Path,:core:search:compileDebugKotlin,2358,2389,2362,2383,2892,2878,ms
Task Path,:core:setting:kspDebugKotlin,3756,3770,3786,3712,4333,4312,ms
Task Path,:core:share:kspDebugKotlin,3661,3654,3585,3643,4275,4173,ms
Task Path,:core:share:compileDebugKotlin,2237,2175,2162,2161,2720,2659,ms
Task Path,:core:setting:compileDebugKotlin,2402,2318,2396,2306,2785,2708,ms
Task Path,:core:status:kspDebugKotlin,3362,3335,3312,3278,3836,3798,ms
Task Path,:core:sync:kspDebugKotlin,3332,3274,3268,3210,3841,3718,ms
Task Path,:core:sync:compileDebugKotlin,2167,2223,2125,2204,2577,2648,ms
Task Path,:core:status:compileDebugKotlin,2186,2201,2177,2200,2620,2619,ms
Task Path,:core:user:kspDebugKotlin,3182,3239,3196,3245,3671,3753,ms
Task Path,:core:task:kspDebugKotlin,3630,3634,3624,3682,4209,4087,ms
Task Path,:core:user:compileDebugKotlin,1971,2014,1960,1992,2404,2397,ms
Task Path,:core:task:compileDebugKotlin,2208,2285,2204,2279,2543,2623,ms
Task Path,:feature:feed-contact:kspDebugKotlin,3246,3302,3213,3314,3701,3771,ms
Task Path,:feature:login-contact:kspDebugKotlin,3437,3542,3435,3527,3907,4097,ms
Task Path,:feature:cart-contact:kspDebugKotlin,3670,3676,3658,3718,4162,4139,ms
Task Path,:feature:comment-contact:kspDebugKotlin,3426,3441,3437,3463,3874,3903,ms
Task Path,:feature:feed-contact:compileDebugKotlin,2593,2550,2551,2591,3244,3196,ms
Task Path,:feature:contact-contact:kspDebugKotlin,3375,3463,3369,3364,4050,3974,ms
Task Path,:feature:cart-contact:compileDebugKotlin,2137,2249,2065,2186,2572,2719,ms
Task Path,:feature:comment-contact:compileDebugKotlin,2228,2274,2204,2268,2707,2589,ms
Task Path,:feature:contact-contact:compileDebugKotlin,2228,2248,2173,2248,2576,2677,ms
Task Path,:feature:login-contact:compileDebugKotlin,2207,2185,2091,2104,3010,2732,ms
Task Path,:feature:forecast:kspDebugKotlin,3450,3569,3453,3612,4055,4001,ms
Task Path,:feature:gallery:kspDebugKotlin,3373,3446,3341,3505,4007,3956,ms
Task Path,:feature:media:kspDebugKotlin,2921,3056,2863,3039,3494,3661,ms
Task Path,:feature:forecast:compileDebugKotlin,2156,2170,2085,2144,2642,2519,ms
Task Path,:feature:gallery:compileDebugKotlin,2153,2243,2064,2186,2628,2801,ms
Task Path,:feature:news:kspDebugKotlin,2940,2975,2879,2936,3567,3475,ms
Task Path,:feature:media:compileDebugKotlin,1893,1868,1847,1813,2345,2247,ms
Task Path,:feature:news:compileDebugKotlin,1926,1876,1878,1839,2282,2249,ms
Task Path,:feature:photo:kspDebugKotlin,2984,2978,2885,2890,3464,3466,ms
Task Path,:feature:playlist:kspDebugKotlin,2990,2955,2881,2835,3515,3490,ms
