Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Task Path,:feature:map:compileDebugKotlin,2829,2796,2796,2788,3169,3166,ms
Task Path,:feature:event:compileDebugKotlin,3672,3620,3638,3580,4010,4059,ms
Task Path,:feature:log:compileDebugKotlin,4257,4209,4202,4201,4853,4778,ms
Task Path,:feature:news:kspDebugKotlin,3656,3780,3600,3662,4331,4256,ms
Task Path,:feature:timer:kspDebugKotlin,3957,4128,3973,4142,4371,4577,ms
Task Path,:feature:article:kspDebugKotlin,3776,3890,3777,3877,4357,4266,ms
Task Path,:feature:calendar:kspDebugKotlin,3390,3429,3369,3395,3888,3928,ms
Task Path,:feature:news:compileDebugKotlin,4280,4309,4287,4390,4886,4858,ms
Task Path,:feature:timer:compileDebugKotlin,3354,3243,3318,3216,3874,3660,ms
Task Path,:feature:article:compileDebugKotlin,2734,2796,2604,2776,3418,3233,ms
Task Path,:feature:calendar:compileDebugKotlin,2094,2139,2035,2107,2498,2526,ms
Task Path,:feature:gallery:kspDebugKotlin,3236,3323,3174,3249,3711,3840,ms
Task Path,:domain:account-contact:kspDebugKotlin,4259,4387,4279,4453,4702,4940,ms
Task Path,:feature:weather:kspDebugKotlin,3420,3539,3390,3587,4081,3977,ms
Task Path,:feature:task:kspDebugKotlin,4050,4124,4028,4198,4491,4596,ms
Task Path,:feature:gallery:compileDebugKotlin,2074,2055,1998,2032,2519,2405,ms
Task Path,:feature:weather:compileDebugKotlin,2082,2081,2089,2037,2491,2543,ms
Task Path,:domain:account-contact:compileDebugKotlin,4282,4205,4250,4207,5101,4957,ms
Task Path,:feature:task:compileDebugKotlin,4304,4231,4321,4256,4922,4728,ms
Task Path,:feature:document:kspDebugKotlin,3894,3907,3847,3873,4450,4523,ms
Task Path,:feature:file:kspDebugKotlin,3714,3694,3663,3706,4189,4136,ms
