Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Task Path,:model:report-login:kspDebugKotlin,2282,2322,2159,2258,2890,2764,ms
Task Path,:model:status-login:kspDebugKotlin,2464,2419,2479,2446,2890,2798,ms
Task Path,:model:push-identity:compileDebugKotlin,1261,1290,1235,1242,1440,1529,ms
Task Path,:model:task-login:kspDebugKotlin,2355,2217,2316,2175,2681,2561,ms
Task Path,:model:report-login:compileDebugKotlin,1245,1233,1193,1199,1588,1496,ms
Task Path,:model:status-login:compileDebugKotlin,1379,1315,1280,1240,1886,1588,ms
Task Path,:model:task-login:compileDebugKotlin,1318,1244,1211,1185,1973,1608,ms
Task Path,:model:timer-login:kspDebugKotlin,2415,2314,2370,2186,2997,2886,ms
Task Path,:model:todo-login:kspDebugKotlin,2324,2394,2274,2214,2878,3081,ms
Task Path,:model:video-login:kspDebugKotlin,2412,2382,2285,2314,2912,2876,ms
Task Path,:model:timer-login:compileDebugKotlin,1322,1398,1245,1345,1796,1811,ms
